ID_Band,TimePoint,AgeCategory,Age_PreBleed,Age_Treatment,Sex,Mom_ID,Cohort,Outcome,Outcome_Detail,Glucose_1,Glucose_2,Glucose_3,Ketone_1,Ketone_2,Plasma_Color,Hematocrit,BleedTime_Min,Blood_SQ.Mean_SCNAG,Blood_SQ.Mean_mtDNA,Blood_mtDNA.Mean,Blood_Cq.Mean_SCNAG,Blood_SQ.Mean_Telomeres,Blood_Cq.Mean_Telomeres,Blood_Telomeres.per.cell,CORT.ng.mL.,RNASeq_DataAvailable
4529,Baseline,Young_Adult,304,318,F,4111,1,No,NA,240,265,No,0.6,0.4,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,No
4530,Baseline,Young_Adult,303,318,F,4111,1,No,NA,227,220,No,0.4,0.3,No,53,,NA,NA,NA,NA,NA,NA,NA,4.918370117,No
4531,Baseline,Young_Adult,303,317,F,4115,1,Succumbed,Unconscious,179,186,No,0.6,0.6,U,54.5,,NA,NA,NA,NA,NA,NA,NA,0.662644618,Yes
4533,Baseline,Young_Adult,304,332,F,4150,2,No,NA,169,246,252,0.4,0.3,L,60,3:00,NA,NA,NA,NA,NA,NA,NA,2.654737219,Yes
4534,Baseline,Young_Adult,305,319,F,4150,2,No,NA,201,283,280,0.3,0.3,L,50,2:57,NA,NA,NA,NA,NA,NA,NA,0.752525573,No
4535,Baseline,Young_Adult,302,330,F,4284,1,No,NA,168,166,No,0.3,0.3,No,54,,NA,NA,NA,NA,NA,NA,NA,0.294881274,No
4548,Baseline,Young_Adult,310,338,F,4432,4,No,NA,No,No,No,No,No,No,No,3:00,NA,NA,NA,NA,NA,NA,NA,NA,Yes
4551,Baseline,Young_Adult,303,318,F,4150,2,No,NA,185,177,No,0.5,0.7,L,54,3:00,NA,NA,NA,NA,NA,NA,NA,0.658007705,No
4554,Baseline,Young_Adult,304,318,F,4181,2,No,NA,291,337,No,0.4,No,L,No,3:00,NA,NA,NA,NA,NA,NA,NA,NA,No
4559,Baseline,Young_Adult,309,323,M,4127,4,No,NA,250,257,No,0.6,No,U,55,1:42,NA,NA,NA,NA,NA,NA,NA,NA,No
4561,Baseline,Young_Adult,303,317,F,4168,2,No,NA,225,231,No,0.4,0.3,U,56,3:00,NA,NA,NA,NA,NA,NA,NA,1.828263896,No
4562,Baseline,Young_Adult,309,324,F,4290,4,No,NA,283,248,No,0.4,No,U,52,3:00,NA,NA,NA,NA,NA,NA,NA,NA,No
4573,Baseline,Young_Adult,297,312,F,4157,1,No,NA,209,190,No,0.4,0.5,U,54,,NA,NA,NA,NA,NA,NA,NA,0.423809289,No
4578,Baseline,Young_Adult,299,314,F,4171,2,No,NA,265,271,No,0.4,No,U,56,2:55,NA,NA,NA,NA,NA,NA,NA,1.602584603,No
4579,Baseline,Young_Adult,300,328,F,4171,2,No,NA,216,200,No,0.4,0.5,U,58,1:30,NA,NA,NA,NA,NA,NA,NA,0.631540734,No
4582,Baseline,Young_Adult,302,330,F,4222,3,No,NA,269,271,No,0.4,0.5,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,No
4586,Baseline,Young_Adult,301,315,F,4222,3,No,NA,270,262,No,0.5,0.6,L,No,,NA,NA,NA,NA,NA,NA,NA,1.411193388,No
4593,Baseline,Young_Adult,288,302,M,4149,2,No,NA,180,170,No,0.3,0.4,U,56,3:00,NA,NA,NA,NA,NA,NA,NA,2.844350167,No
4600,Baseline,Young_Adult,283,297,M,4184,3,No,NA,170,170,No,0.6,0.7,No,63,,NA,NA,NA,NA,NA,NA,NA,4.361357716,No
4601,Baseline,Young_Adult,285,299,F,4184,3,No,NA,242,245,No,0.5,0.6,L,56,,NA,NA,NA,NA,NA,NA,NA,0.79720613,No
4604,Baseline,Young_Adult,285,300,F,4184,3,No,NA,212,244,No,0.5,0.6,U,No,,NA,NA,NA,NA,NA,NA,NA,1.468740072,No
4608,Baseline,Young_Adult,268,282,F,4124,1,No,NA,141,132,No,0.1,0.2,No,34,,NA,NA,NA,NA,NA,NA,NA,0.000500511,No
4612,Baseline,Young_Adult,254,282,F,4412,1,No,NA,223,283,247,0.4,0.3,U,50,,NA,NA,NA,NA,NA,NA,NA,NA,No
4613,Baseline,Young_Adult,265,279,M,4412,4,No,NA,234,238,No,0.7,No,U,56,2:46,NA,NA,NA,NA,NA,NA,NA,0.545393897,No
4614,Baseline,Young_Adult,251,265,M,4340,1,No,NA,188,179,No,No,No,No,55,,NA,NA,NA,NA,NA,NA,NA,NA,No
4619,Baseline,Young_Adult,260,288,F,4470,3,No,NA,281,279,No,0.6,0.6,U,No,,NA,NA,NA,NA,NA,NA,NA,1.337245638,Yes
