"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4529,"Baseline","Older","F",4111,1,"C","No","240","265","No","0.6","0.4","No","No","No","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA
4529,"Treatment","Older","F",4111,1,"C","No","193","237","No","0.3","No","No","U","52","2:00","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4530,"Baseline","Older","F",4111,1,"D","No","227","220","No","0.4","0.3","No","No","53","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4530,"Treatment","Older","F",4111,1,"D","No","265","235","259","0.4","No","No","U","53","1:47","","",113,"",NA,NA,NA,NA,NA,NA,NA
4531,"Baseline","Older","F",4115,1,"B","Yes","179","186","No","0.6","0.6","No","U","54.5","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA
4531,"Treatment","Older","F",4115,1,"B","Yes","225","215","No","0.6","No","No","U","58","1:46","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA
4533,"Baseline","Older","F",4150,2,"E","No","169","246","252","0.4","0.3","No","L","60","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4533,"Heat","Older","F",4150,2,"E","No","207","196","No","0.4","No","No","U","60","1:50","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4533,"Treatment","Older","F",4150,2,"E","No","211","209","No","0.5","No","No","U","54","1:34","","",113,"",NA,NA,NA,NA,NA,NA,NA
4534,"Baseline","Older","F",4150,2,"B","No","201","283","280","0.3","0.3","No","L","50","2:57","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4534,"Treatment","Older","F",4150,2,"B","No","253","242","No","0.6","No","No","U","58","1:32","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4535,"Baseline","Older","F",4284,1,"E","No","168","166","No","0.3","0.3","No","No","54","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4535,"Heat","Older","F",4284,1,"E","No","217","No","No","No","No","No","U","60","3:00","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA
4535,"Treatment","Older","F",4284,1,"E","No","220","210","No","0.7","No","No","U","60","2:20","031324A","",113,"nodule on wing",NA,NA,NA,NA,NA,NA,NA
4543,"Baseline","Older","M",4168,2,"A","No","230","271","No","0.4","0.3","No","U","51","1:24","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4543,"Treatment","Older","M",4168,2,"A","No","316","306","No","0.4","No","No","L","52","2:55","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4548,"Baseline","Older","F",4432,4,"E","No","No","No","No","No","No","No","No","No","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4548,"Heat","Older","F",4432,4,"E","No","289","260","No","0.8","No","No","U","0.8","1:45","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4548,"Treatment","Older","F",4432,4,"E","No","191","180","No","0.4","No","No","U","62","1:42","","",113,"",NA,NA,NA,NA,NA,NA,NA
4551,"Baseline","Older","F",4150,2,"D","No","185","177","No","0.5","0.7","No","L","54","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4551,"Treatment","Older","F",4150,2,"D","No","231","228","No","0.3","No","No","U","52","1:12","032204A","",113,"",NA,NA,NA,NA,NA,NA,NA
4552,"Baseline","Older","F",4150,2,"A","No","228","247","No","0.3","0.3","No","U","54","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4552,"Treatment","Older","F",4150,2,"A","No","245","245","No","0.5","No","No","U","52","2:22","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4554,"Baseline","Older","F",4181,2,"C","No","291","337","No","0.4","No","No","L","No","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4554,"Treatment","Older","F",4181,2,"C","No","286","283","No","0.6","No","No","L","56","1:54","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4556,"Baseline","Older","M",4287,1,"A","No","213","211","No","0.2","0.2","No","No","50","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4556,"Treatment","Older","M",4287,1,"A","No","197","194","No","0.4","No","No","U","56","1:09","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA
