ZF_4625_B_BL	ZF_4719_B_BL	ZF_4720_B_BL	ZF_4737_B_BL	ZF_4738_B_BL	ZF_4739_B_BL	ZF_4745_B_BL	ZF_4761_B_BL	ZF_4768_B_BL	ZF_4774_B_BL	ZF_4775_B_BL	ZF_4784_B_BL	ZF_4785_B_BL	ZF_4798_B_BL	ZF_4802_B_BL	ZF_4810_B_BL	ZF_4817_B_BL
PCNP	12.5199511641094	12.0205340065448	11.9380935872545	12.2262210375413	12.2038571890978	12.7065374938373	12.0737125094555	12.0858774699007	12.176781452771	11.9898054180228	12.1308889386286	12.3532617957803	12.3228018853349	12.2926169766637	11.94227732499	11.891876333422	11.7283710521416
FILIP1L	5.95764466768307	6.91808921126246	6.2717951864059	6.8044207169925	6.69320852262998	6.19847955080392	6.81214525013914	7.61341851900914	7.0800691901827	5.68838653848517	8.0966155458211	7.025103807293	6.87269953626998	6.80107249405999	7.06834522294496	8.09536104712961	7.14303962053415
TBC1D23	10.5331444808302	10.0461815310511	10.5136329611789	10.3668634111472	10.3419992012322	10.3992955743595	10.3874345262098	10.2462385868304	10.4242065797419	10.1336752517236	10.44576860823	10.4380905976952	10.3351418831932	10.1901210581763	10.5419797817488	10.5748691281975	10.198794477092
TFG	10.5390856572572	10.9076882977964	10.3989444861613	10.4318229897288	10.328535396717	10.5757744387681	11.0525940934108	10.5667050340488	10.7866954512306	10.6472830288758	10.6569365910623	10.8209098245567	10.6934591904241	10.3143265257739	10.2091687621507	10.6694616223534	10.4369967055259
SENP7	13.3895668039761	12.9875085464335	12.1007628050532	12.6455097321745	12.7440501434165	12.7298015034535	12.4726859794194	13.1851791638534	13.3618927312122	12.7529122332391	13.1053179940667	12.9385565917087	12.9630547745447	13.0513121372512	12.8305670991898	12.6272623525143	13.3023186564485
TRMT10C	9.87124313011885	9.97225276344668	10.051521198486	10.5660312394673	10.0513564833905	10.4346836983367	10.2656965212674	9.6896246118685	9.55471110221883	9.87945193259069	9.51177492111802	10.0143062601576	8.93713122846423	9.78374046646858	10.0110740535432	10.0507951094089	9.90617172046958
NIT2	11.0146022263403	10.6376808359762	11.2357101701336	10.8730160676395	10.6486920905998	10.0993203552295	11.01634538259	9.85518382582022	10.2894067765436	10.8301366971769	10.6716866536893	10.4626807851671	9.70871027356329	9.98568076557606	10.3860649868837	10.6041940457178	10.4732978347195
TOMM70	10.1758042717748	10.1944399929001	9.82081290042457	10.4709858656843	10.3909355654652	10.0744071936064	10.0713866525152	10.190110280693	10.6376198692566	10.691280617004	10.5542181071695	10.5151959611808	9.96977260550016	10.5104477949283	10.3090367716091	9.89182618104038	10.417994486825
IMPG2	6.09303630803232	7.28674629147236	7.520524496746	7.25777068571752	6.90499441852975	7.04945473406967	8.39279784104155	8.03765014146698	6.90276866986699	4.6656597169298	7.39194864013247	6.722853139864	6.28788240399561	7.84703654528205	7.06834522294496	7.1597581709073	7.35137658039579
TXNL4B	7.68542890929929	8.6650462835446	7.76097292645778	7.54463020458167	8.01397488410479	9.06675014483688	7.89881882005205	8.18957541155146	7.35747511616	7.58143126616632	8.25191367012768	7.78808039028585	7.54312968423256	7.61804292199044	7.2238294931592	7.37467051682047	7.47265060336465
LOC140684497	13.4258255533733	12.7396754199262	13.9678212283696	13.5101285268879	13.2059412875592	13.3195287465678	13.5443239813793	12.8749081224011	13.001886701953	13.4238341771447	13.0978287312576	13.255490961246	13.6656353368055	13.432063444121	13.9834776474723	13.2488970783762	12.7493169987187
LOC121469166	12.3407961790701	11.3454946414417	12.303825794816	12.4147760690088	12.0367986183263	12.1336480882959	12.0945280933414	11.8932798006227	12.1347314204299	11.8584421356218	12.1533954895427	12.1017755463982	12.6421417536573	12.2174146012418	12.5909081840684	12.24299877521	11.9482068971823
LOC140684334	12.866748513261	12.2758483420283	13.3505787576374	13.4854778661956	13.0904658364657	12.3021489416988	12.5671985632226	12.1844032659221	12.191334788187	13.4240712459656	12.1900365975392	12.153608834884	13.1937392387488	13.2092158256624	13.2956775893772	12.0239664690176	11.4542567599761
LOC140684346	12.4491484837103	11.9512696308561	12.8909392787532	12.9335964642062	12.5340749146396	11.9545822026686	12.1482952817454	11.7391834589459	11.8293124281196	12.7984262627942	11.7410882523328	11.9329327927579	12.6928056353441	12.6565232704904	12.8896679485183	11.6367438918567	11.0758993769705
LOC140684351	13.1542142990775	12.515653871787	13.5260989494197	13.3571241704076	12.9607353141914	12.7608056945457	13.0095737134258	12.4920463740479	12.687436561121	13.2840303375431	12.7816047011653	12.8586229346476	13.4207200365522	13.1755735458395	13.6878565010567	12.7337020550225	12.0249054462198
LOC140684365	12.5171948111712	11.9660261000527	12.9114007061071	12.933195878086	12.5472119093482	11.9868872418502	12.1777007160568	11.7500086881864	11.8432030698605	12.7960469688942	11.8209995515724	11.9718603100317	12.6970544674598	12.6035198007487	12.8806067585664	11.6301063479338	11.0682222075286
LOC140684387	10.4110355735401	9.26439493717166	10.0205238559541	9.02868539223496	8.85090420006645	9.71093701859346	9.72661351690755	9.2915628787756	9.78111193086881	10.0538101783871	10.4994627752159	10.135690461348	10.27388471116	9.34513916869327	10.9485402173503	9.43711810258989	10.1834784419819
LOC140684392	12.5674750506495	12.1375414074364	13.1135960157261	13.077930664267	12.6131446846735	12.3309829707596	12.5745081326852	12.2052676043997	12.2231593543001	13.0649885980178	12.2917059510122	12.227910237678	12.845488868981	12.8042117921927	13.1283246487088	12.017441637308	11.5702229746161
ZBTB11	11.4903553769427	11.2690810530072	10.8174410302243	10.5701593589384	10.8288854158595	11.5004579054592	10.9855444027739	11.9681237624674	11.7718346438598	11.3665604963116	12.2341787823538	12.2444738188504	12.2661636309838	11.5270208828999	12.1507308472187	11.2194906087599	11.8260640487114
RPL24	14.3978333651098	14.2777895694397	13.3547270196517	14.0944229548503	14.4709452442463	14.6146976386729	13.4958449875777	14.0127414220824	14.081220324265	13.6404893976239	13.9257609739485	14.0635931567142	14.0135813066955	14.0208718299208	14.3384253790179	13.9993563212428	14.3501223517858
CEP97	11.3515215406165	11.7110564072496	11.2286236924296	10.9962532501742	11.2320643076549	11.2163956045046	11.0301313561696	11.711390398344	11.5406977857516	10.8535598045393	11.6767386631295	11.7230846140178	11.8242856558502	11.7817641342621	11.5365596076063	11.2715979841058	11.527003909896
NXPE3	6.99291907812564	6.51137955891147	7.07974368926186	5.20312843051571	5.93740015682189	6.03100805430888	5.45151070073651	6.54985243275632	7.29894793845646	8.21080436324684	7.15007272252722	6.52011530222708	7.8544086468478	6.45560129509734	7.89827761876475	6.85603788124229	7.33440823768803
NFKBIZ	5.15586025834756	7.09106092338968	8.89419276267368	5.4380988248535	6.09110279609402	5.41229035607404	6.99195785844232	6.30563331034721	6.28414161563719	7.28830376146451	6.63684261954912	6.99060852549841	6.45775895091648	6.40984355999213	7.02200554805136	6.53721987877159	6.85255265854121
CBLB	7.39350956042711	8.07990549209332	7.00931479691436	6.56065951581867	7.35546030113482	6.06030506663425	6.2957779926377	8.05171777119663	7.83215477189433	7.99798571410998	6.99451236658557	7.41803010944333	7.76009121228012	7.40910811215172	7.13081758309852	7.86925356102417	6.85255265854121
