Name,GeneCount,EnrichmentScore,NOM_pvalue,FDR q-val,FWER p-val,Direction,Order
FATTY_ACID_METABOLISM,91,0.48915327,0.00001,0.01096745,0.0072,Upregulated,1
ALLOGRAFT_REJECTION,95,0.45970264,0.00001,0.0177963,0.0236,Upregulated,2
ESTROGEN_RESPONSE_EARLY,89,0.45342726,7.64E-04,0.01950232,0.0383,Upregulated,3
HEME_METABOLISM,135,0.38857588,7.99E-04,0.06547319,0.1593,Upregulated,4
ANDROGEN_RESPONSE,69,0.42268628,0.01131333,0.06721337,0.1991,Upregulated,5
ESTROGEN_RESPONSE_LATE,83,0.38896263,0.0160562,0.11388426,0.3658,Upregulated,6
KRAS_SIGNALING_UP,72,0.39470246,0.01943683,0.10523443,0.3869,Upregulated,7
UV_RESPONSE_DN,82,0.36279893,0.04043393,0.18022293,0.6171,Upregulated,8
MYC_TARGETS_V1,178,-0.40669468,4.73E-04,0.09937836,0.1417,Downregulated,9
UNFOLDED_PROTEIN_RESPONSE,97,-0.36098152,0.06394403,0.67398846,0.8795,Downregulated,10
MYC_TARGETS_V2,45,-0.39140245,0.13905223,0.6754358,0.9609,Downregulated,11
DNA_REPAIR,110,-0.31834775,0.16357061,0.8441036,0.9949,Downregulated,12
TGF_BETA_SIGNALING,33,-0.39049914,0.22896624,0.7039487,0.9962,Downregulated,13
