"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KCNK12",196.67723976351,2.49248854676939,0.448379623583397,5.55888005536405,2.71511196860565e-08,0.000261954002731074
"AMOTL1",127.185802069643,2.98539737222689,0.612120721518589,4.8771382298912,1.07636009569203e-06,0.00519236110161833
"THOC6",4308.71198609006,-1.13139514960768,0.23667349635835,-4.78040493344733,1.74942469423697e-06,0.00562614981666609
"ELAVL3",5038.78973495071,-0.798068041426665,0.172715879719007,-4.62069870312474,3.82449851897083e-06,0.00922469042775764
"LOC115490810",395.7644167661,2.46920612268169,0.549861565527726,4.49059595629654,7.10241688460777e-06,0.0116802341524512
"RAVER1",2297.11012779456,-0.500524112584028,0.111894791475897,-4.47316721343411,7.70694624191186e-06,0.0116802341524512
"LOC140680346",173.523397518347,1.34746080671401,0.303585066052265,4.43849502953493,9.05900760791023e-06,0.0116802341524512
"FNTA",892.525808452344,-1.37194178247519,0.310107330886185,-4.42408690744148,9.68510294564776e-06,0.0116802341524512
"RAB14",5050.85534288157,-0.374740021631801,0.0865721817236072,-4.3286424596322,1.50031271565079e-05,0.0160797404499176
"TBL1XR1",395.150108163435,0.719306202970519,0.167069656503782,4.30542695797209,1.66663976470953e-05,0.0160797404499176
"TRAPPC10",849.55075097041,1.15632137092344,0.275056318476099,4.20394404073256,2.62303812491383e-05,0.0230064289356078
"N4BP2L2",1015.08607368252,1.3146451298117,0.315404300597497,4.16812683695579,3.0711303536992e-05,0.0241907544875063
"PPM1L",163.979924621347,-2.86995419762622,0.690800766638018,-4.15453244441763,3.25953366850727e-05,0.0241907544875063
"PTGES3",8985.94340495381,-0.494652945728174,0.121450938955359,-4.0728622601262,4.64388903074582e-05,0.0299743243736906
"WDR3",1612.84847414272,-0.682275869423612,0.167551099724862,-4.07204650130012,4.66018724715339e-05,0.0299743243736906
"LOC115498543",676.967988782022,-1.33376533321693,0.328929246966902,-4.05486999260708,5.01621938511677e-05,0.0302478028922541
"SAG",347.696562210162,-1.07848650221605,0.268253822450204,-4.0203956550004,5.81004795389168e-05,0.0329737309759688
