NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	178	-0.40669468	-1.6022147	4.7326076E-4	0.09937836	0.1417	1536	tags=24%, list=16%, signal=28%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.36098152	-1.3125665	0.06394403	0.67398846	0.8795	2543	tags=33%, list=26%, signal=44%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	45	-0.39140245	-1.257426	0.13905223	0.6754358	0.9609	1412	tags=31%, list=15%, signal=36%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	110	-0.31834775	-1.1784033	0.16357061	0.8441036	0.9949	2401	tags=35%, list=25%, signal=45%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	33	-0.39049914	-1.1716961	0.22896624	0.7039487	0.9962	233	tags=9%, list=2%, signal=9%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	96	-0.29490143	-1.071183	0.30892563	1.0	1.0	2578	tags=36%, list=27%, signal=49%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	36	-0.34040943	-1.0381354	0.395361	1.0	1.0	906	tags=14%, list=9%, signal=15%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	58	-0.30271026	-1.0141169	0.42982006	1.0	1.0	1577	tags=24%, list=16%, signal=29%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	58	-0.30067924	-1.009056	0.4358714	0.91971594	1.0	1453	tags=21%, list=15%, signal=24%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	91	-0.26834244	-0.9652049	0.52374625	0.99423903	1.0	2861	tags=34%, list=30%, signal=48%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	143	-0.22626847	-0.86816835	0.77960217	1.0	1.0	1532	tags=20%, list=16%, signal=23%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	82	-0.24447303	-0.8662782	0.7467839	1.0	1.0	612	tags=9%, list=6%, signal=9%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	73	-0.24447043	-0.85183686	0.759334	1.0	1.0	2383	tags=25%, list=25%, signal=32%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	129	-0.21669693	-0.8220434	0.8691049	1.0	1.0	1667	tags=19%, list=17%, signal=23%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	153	-0.21229172	-0.82049704	0.89176804	1.0	1.0	1200	tags=13%, list=12%, signal=15%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	43	-0.21231039	-0.67329705	0.96085227	1.0	1.0	939	tags=9%, list=10%, signal=10%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	18	-0.25666365	-0.6678853	0.9117383	1.0	1.0	1323	tags=17%, list=14%, signal=19%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	64	-0.16448195	-0.55982226	0.99864566	1.0	1.0	2485	tags=23%, list=26%, signal=31%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	15	-0.19577843	-0.4883675	0.9916606	0.99934024	1.0	2484	tags=27%, list=26%, signal=36%	
