NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	91	0.48915327	1.8548766	0.0	0.010967445	0.0072	1222	tags=21%, list=13%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	95	0.45970264	1.7552513	0.0	0.0177963	0.0236	1867	tags=33%, list=19%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	89	0.45342726	1.7127861	7.643312E-4	0.019502316	0.0383	2105	tags=44%, list=22%, signal=56%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	135	0.38857588	1.5582308	7.993605E-4	0.06547319	0.1593	2116	tags=36%, list=22%, signal=46%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	69	0.42268628	1.5311829	0.01131333	0.06721337	0.1991	1337	tags=26%, list=14%, signal=30%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	83	0.38896263	1.4464576	0.016056197	0.11388426	0.3658	1427	tags=30%, list=15%, signal=35%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	72	0.39470246	1.4373174	0.01943683	0.10523443	0.3869	1868	tags=33%, list=19%, signal=41%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	82	0.36279893	1.353725	0.040433925	0.18022293	0.6171	1291	tags=22%, list=13%, signal=25%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	82	0.3395056	1.2657276	0.078436136	0.2995511	0.8386	1578	tags=27%, list=16%, signal=32%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	100	0.32133108	1.2412527	0.08925791	0.31738666	0.8838	1421	tags=21%, list=15%, signal=24%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	97	0.32338217	1.2410355	0.09035533	0.2889559	0.8843	2632	tags=40%, list=27%, signal=55%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	25	0.4206462	1.225849	0.18598756	0.29384595	0.9082	1413	tags=28%, list=15%, signal=33%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	145	0.28743452	1.1690317	0.13089146	0.39056006	0.9695	2201	tags=34%, list=23%, signal=44%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	17	0.40798	1.088547	0.33743408	0.5812005	0.9979	1942	tags=29%, list=20%, signal=37%	
